Name,Genre,List ID
Today's Top Hits,Pop,37i9dQZF1DXcBWIGoYBM5M
Pop Rising,Pop,37i9dQZF1DWUa8ZRTfalHk
New Music Friday,Pop,37i9dQZF1DX4JAvHpjipBk
Mega Hit Mix,Pop,37i9dQZF1DXbYM3nMM0oPk
Just Good Music,Pop,37i9dQZF1DX0b1hHYQtJjp
RapCaviar,Hip Hop,37i9dQZF1DX0XUsuxWHRQd
Get Turnt,Hip Hop,37i9dQZF1DWY4xHQp97fN6
Fellin' Myself,Hip Hop,37i9dQZF1DX6GwdWRQMQpq
Most Necessary,Hip Hop,37i9dQZF1DX2RxBh64BHjQ
Hip-Hop Classics,Hip Hop,37i9dQZF1DX7Mq3mO5SSDc
Hot Country,Country,37i9dQZF1DX1lVhptIYRda
New Boots,Country,37i9dQZF1DX8S0uQvJ4gaa
Chillin' on a Dirt Road,Country,37i9dQZF1DWTkxQvqMy4WW
Hot Country Presents,Country,37i9dQZF1DXaB64wwvEuUo
90's Country,Country,37i9dQZF1DWVpjAJGB70vU
Rock This,Rock,37i9dQZF1DXcF6B6QPhFDv
New Noise,Rock,37i9dQZF1DWT2jS7NwYPVI
00s Rock Anthems,Rock,37i9dQZF1DX3oM43CtKnRV
Yacht Rock,Rock,37i9dQZF1DXb3m918yXHxA
The New Alt,Rock,37i9dQZF1DX82GYcclJ3Ug
Viva Latino,Latin,37i9dQZF1DX10zKzsJ2jva
Baila Reggaeton,Latin,37i9dQZF1DWY7IeIP1cdjF
Latin Party Anthems,Latin,37i9dQZF1DWVcbzTgVpNRm
Bachata Lovers,Latin,37i9dQZF1DX7MTlMMRl0MD
Spotify Awards,Latin,37i9dQZF1DWSpF87bP6JSF
Mint,Dance/Electronic,37i9dQZF1DX4dyzvuaRJ0n
Trance Mission,Dance/Electronic,37i9dQZF1DX91oIci4su1D
Dance Hits,Dance/Electronic,37i9dQZF1DX0BcQWzuB7ZO
Happy Beats,Dance/Electronic,37i9dQZF1DWSf2RDTDayIx
Hype,Dance/Electronic,37i9dQZF1DX4eRPd9frC1m
Are & Be,R&B,37i9dQZF1DX4SBhb3fqCJd
I Love My 00's R&B,R&B,37i9dQZF1DWYmmr74INQlb
I Love My 90's R&B,R&B,37i9dQZF1DX6VDO8a6cQME
Chilled R&B,R&B,37i9dQZF1DX2UgsUIg75Vg
Channel X,R&B,37i9dQZF1DX4y8h9WqDPAE
All New Indie,Indie,37i9dQZF1DXdbXrPNafg9d
Ultimate Indie,Indie,37i9dQZF1DX2Nc3B70tvx0
Lorem,Indie,37i9dQZF1DXdwmD5Q7Gxah
Late Night Vibes,Indie,37i9dQZF1DXdQvOLqzNHSW
Feel Good Indie Rock,Indie,37i9dQZF1DX2sUQwD7tbmL
Best of Folk & Americana 2019,Folk & Acoustic,37i9dQZF1DWYdLqwKCcDiy
Best of Folk & Americana 2010s,Folk & Acoustic,37i9dQZF1DX0dClrg1J8Br
Roots Rising,Folk & Acoustic,37i9dQZF1DWYV7OOaGhoH0
Fresh Folk,Folk & Acoustic,37i9dQZF1DXaUDcU6KDCj4
Fresh Folk 2019,Folk & Acoustic,37i9dQZF1DWTyjRnMgESue
Late Night Jazz,Jazz,37i9dQZF1DX4wta20PHgwo
Coffee Table Jazz,Jazz,37i9dQZF1DWVqfgj8NZEp1
Jazz Classics,Jazz,37i9dQZF1DXbITWG1ZJKYt
Butter,Jazz,37i9dQZF1DWVzZlRWgqAGH
Jazz Classics Blue Note Edition,Jazz,37i9dQZF1DWTR4ZOXTfd9K
Kickass Metal,Metal,37i9dQZF1DWTcqUzwhNmKv
New Metal Tracks,Metal,37i9dQZF1DX5J7FIl4q56G
Adrenaline Workout,Metal,37i9dQZF1DXe6bgV3TmZOL
Old School Metal,Metal,37i9dQZF1DX2LTcinqsO68
Nu Metal Generation,Metal,37i9dQZF1DXcfZ6moR6J0G
New Punk Tracks,Punk,37i9dQZF1DX0KpeLFwA3tO
Pop Punk Powehouse,Punk,37i9dQZF1DXa9wYJr1oMFq
Emo Forever,Punk,37i9dQZF1DX9wa6XirBPv8
Classic Punk,Punk,37i9dQZF1DX3LDIBRoaCDQ
Pure Pop Punk,Punk,37i9dQZF1DXasneILDRM7B
