Name,Link,List ID,,,
Todays Top Hits,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M,37i9dQZF1DXcBWIGoYBM5M,,,
RapCaviar,https://open.spotify.com/playlist/37i9dQZF1DX0XUsuxWHRQd,37i9dQZF1DX0XUsuxWHRQd,,,
Get Turnt,https://open.spotify.com/playlist/37i9dQZF1DWY4xHQp97fN6,37i9dQZF1DWY4xHQp97fN6,,,
Hot Country,https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,37i9dQZF1DX1lVhptIYRda,,,
Chill Hits,https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6,37i9dQZF1DX4WYpdgoIcn6,,,
Mega Hit Mix,https://open.spotify.com/playlist/37i9dQZF1DXbYM3nMM0oPk,37i9dQZF1DXbYM3nMM0oPk,,,
New Music Friday,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,37i9dQZF1DX4JAvHpjipBk,,,
Beast Mode,https://open.spotify.com/playlist/37i9dQZF1DX76Wlfdnj7AP,37i9dQZF1DX76Wlfdnj7AP,,,
Feelin' Myself,https://open.spotify.com/playlist/37i9dQZF1DX6GwdWRQMQpq,37i9dQZF1DX6GwdWRQMQpq,,,
Pumped Pop,https://open.spotify.com/playlist/37i9dQZF1DX5gQonLbZD9s,37i9dQZF1DX5gQonLbZD9s,,,
Mood Booster,https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0,37i9dQZF1DX3rxVfibe1L0,,,
Christmas Classics ,https://open.spotify.com/playlist/37i9dQZF1DX6R7QUWePReA,37i9dQZF1DX6R7QUWePReA,,,
Pop Rising,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk,37i9dQZF1DWUa8ZRTfalHk,,,
Rock Legends,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U,37i9dQZF1DWXRqgorJj26U,,,
Viva Latino,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva,37i9dQZF1DX10zKzsJ2jva,,,
Chillin' on a Dirt Road,https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW,37i9dQZF1DWTkxQvqMy4WW,,,
Lo-Fi Beats,https://open.spotify.com/playlist/37i9dQZF1DWWQRwui0ExPn,37i9dQZF1DWWQRwui0ExPn,,,
Happy Hits!,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC,37i9dQZF1DXdPec7aLTmlC,,,
All Out 80's,https://open.spotify.com/playlist/37i9dQZF1DX4UtSsGT1Sbe,37i9dQZF1DX4UtSsGT1Sbe,,,
Most Necessary ,https://open.spotify.com/playlist/37i9dQZF1DX2RxBh64BHjQ,37i9dQZF1DX2RxBh64BHjQ,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
